     1→     1→# Worklog — SIMADJI: Sistem Informasi Manajemen TPQ Darul Jinan
   173→   173→- payments-admin.tsx: (a) "Ekspor CSV" outline button near filters exporting FILTERED rows: No Invoice;Santri;Keterangan;Nominal (plain integer, no Rp);Metode;Status;Tanggal Bayar;Tanggal Dibuat (dd/mm/yyyy) → `keuangan-darul-jinan-YYYY-MM-DD.csv` + row-count toast; (b) per-row "Kirim Reminder WA" DropdownMenuItem (BellRing, amber) visible only for PENDING/FAILED, disabled when p.student.parent.phone missing, sends POST /api/notifications {phone: parent.phone, userId: parent.id, message} with exact template `Pengingat: Tagihan *{title}* sebesar Rp {amount id-ID} ({invoiceNo}) untuk {studentName} masih menunggu pembayaran. Bayar mudah via Portal Wali SIMADJI (QRIS/GoPay/VA). Terima kasih. — TPQ Darul Jinan` (buildReminderMessage module fn), toast "Reminder terkirim ke {parent name}", row spinner via busyId; (c) bulk "Ingatkan Semua" amber outline BellRing button next to "Buat Tagihan" (disabled when loading/bulkSending/0 remindable pending), AlertDialog confirm "Sistem akan mengirim pengingat ke N tagihan tertunda…" (+ note when some pending lack parent phone), then sequential for-loop over loaded PENDING payments with parent phone: per-item POST with 250ms await between sends, per-item try/catch continues on failure, Loader2 + "Mengirim…" label during send, final toast "{ok} reminder terkirim" with skipped/failed counts.
   174→   174→- QA: `bun run lint` clean (0 errors/warnings); `bunx tsc --noEmit` → zero errors under src/components/admin (remaining errors pre-existing in examples/ + skills/ scaffolds only); did not touch API routes, page.tsx/layout/globals.css, or any file outside the 3 listed; no new npm packages; did not run dev server.
   175→   175→
   176→   176→Stage Summary:
   177→   177→- Files touched (exactly 3): src/components/admin/overview.tsx (+4 exported CSV helpers: csvCell, csvDate, csvFileStamp, downloadCsv; mobile KPI polish), src/components/admin/students-admin.tsx (CSV export), src/components/admin/payments-admin.tsx (CSV export + per-row & bulk WhatsApp reminders).
   178→   178→- CSV format: `;` separator (Excel id-ID friendly), RFC-quoted escaping, BOM for Excel UTF-8, dd/mm/yyyy dates, plain-integer nominal (75000), filenames with local-date stamp; exports always reflect the currently filtered rows; empty result disables the button.
   179→   179→- Reminders reuse the existing POST /api/notifications route — zero backend changes; per-row items gated to PENDING/FAILED and disabled without parent phone; bulk flow is sequential with small awaits (gentle on the simulated BSP), counts successes and reports skipped (no phone) / failed in the summary toast.
   180→   180→- Mobile KPI decision: grid is 2-col from base breakpoint (killing the tall 1-col mobile stack), 3-col from lg; hint text hidden <sm; all sm+ styles identical to previous desktop rendering.
   181→   181→
   182→   182→---
   183→   183→Task ID: 9-c
   184→   184→Agent: parent-enh (frontend-styling-expert)
   185→   185→Task: Parent portal Rapor Santri printable report
   186→   186→
   187→   187→Work Log:
   188→   188→- Read worklog.md (API contract), child-panel.tsx (650 lines: PaymentDialog, QrCheckinCard, ChildPanel), parent-portal.tsx, types.ts (ParentPortalData/Hafalan/Payment shapes), api-client.ts (formatRupiah/formatShortDate), ui/dialog.tsx (data-slot attrs), ui/table.tsx (TableFooter export), button/card variants; verified lucide-react 0.525 icon availability (FileText/Printer/ClipboardCheck/BookOpenCheck/Wallet) via node probe; reused public footer WA contact (0812-3456-7890 / wa.me/6281234567890).
   189→   189→- Added RaporDialog in child-panel.tsx: Dialog (max-h-[80vh] overflow-y-auto, sm:max-w-2xl) with formal report #rapor-santri-print — emerald letterhead (Landmark medallion + "TPQ DARUL JINAN" + "Laporan Perkembangan Santri — SIMADJI" + amber "Rapor {year}" chip, 2px emerald border frame), 2-col identity grid (Nama Lengkap, NIS, Kelas, Program & Jadwal, Ustadz/Ustadzah Pengampu, Tanggal Cetak via formatShortDate(new Date())), "Ringkasan Kehadiran" (4 status cards w/ colored dots reusing ATT_COUNT_KEY + big bold % Tingkat Kehadiran w/ "dari N pertemuan tercatat" note + mini progress bar), "Progres Hafalan" table (Surah/Ayat/Jenis badge reusing HAFALAN_BADGE/Nilai text-colored >=85 emerald >=70 amber else red via new gradeTextClass/Catatan whitespace-normal so notes print fully) + TableFooter "Rata-rata Nilai" (avg of non-null grades or "–"), "Keuangan" 2 cards (Total Dibayar = SUCCESS count+sum emerald, Tunggakan = PENDING count+sum amber, formatRupiah), italic auto-generation footer + WA sekretariat line; button row class no-print: outline "Tutup" + emerald "Cetak / Simpan PDF" (Printer) -> window.print().
   190→   190→- PRINT implementation: scoped <style dangerouslySetInnerHTML> mounted only while dialog open (@media print): body>*:not(:has(#rapor-santri-print)) display:none (removes app shell/toast portals from layout -> no blank pages, degrades to classic visibility approach on :has-less engines), html/body overflow:visible + height:auto !important (defeats Radix react-remove-scroll inline overflow:hidden that would clip pagination), body * visibility:hidden + report subtree visibility:visible, dialog-overlay/dialog-close/.no-print display:none, [data-slot=dialog-content] reset to static/untransformed/no-max-h/no-padding so the report flows from page top and paginates, print-color-adjust:exact keeps emerald/amber fills in PDF.
   191→   191→- Wired button into child summary card: CardAction now flex flex-wrap items-center justify-end gap-2 holding outline-emerald sm Button "Rapor Santri" (FileText, h-8 rounded-lg border-emerald-300) beside existing "Kehadiran N%" badge (mobile-safe wrapping); RaporDialog state raporOpen in ChildPanel, rendered alongside PaymentDialog (no parent-portal.tsx changes needed — data all from child prop).
   192→   192→- Empty-state guards: hafalans -> "Belum ada setoran tercatat..."; payments -> "Belum ada tagihan tercatat untuk santri ini."; attendanceSummary.total === 0 -> "–" + "Belum ada pertemuan tercatat."; classSchedule/teacherName fallback "—".
   193→   193→- QA: bun run lint -> clean; bunx tsc --noEmit -> 0 errors in src/components/parent (remaining errors pre-existing in examples/, skills/); did not run dev server; touched only child-panel.tsx.
   194→   194→
   195→   195→Stage Summary:
   196→   196→- File changed: src/components/parent/child-panel.tsx only (+~300 lines; parent-portal.tsx untouched, no API/prop changes, no new deps).
   197→   197→- New exports-internals: RaporDialog + RaporSectionTitle + gradeTextClass + RAPOR_ATT_DOT + RAPOR_PRINT_CSS; ParentStudent/ChildPanel API unchanged.
   198→   198→- Decisions: kept single-file scope by sourcing everything from the child prop (attendances/hafalans/payments/attendanceSummary/nis/className/classSchedule/teacherName); computed SUCCESS/PENDING sums from payments[] rather than billing{} so count+sum semantics match the spec; reused existing badge/grade maps for visual consistency; Landmark used as mosque icon (Mosque glyph unavailable in lucide 0.525, per task 5-c precedent); report table Catatan column uses whitespace-normal to avoid ellipsis-truncation in print.
   199→   199→
   200→   200→---
   201→   201→Task ID: 9 (cron review round)
   202→   202→Agent: main (Z.ai Code) + 3 subagents (9-a/9-b/9-c)
   203→   203→Task: Round-9 review — QA sweep, new features, styling polish
   204→   204→
   205→   205→Work Log:
   206→   206→- Reviewed worklog; project state = stable feature-complete MVP (rounds 1-7), zero known bugs.
   207→   207→- QA sweep via agent-browser: public portal anchor navigation OK (no sticky-header overlap), admin login + Keuangan regression OK, zero console/page errors, dev.log clean. No bugs to fix → proceeded to feature additions.
   208→   208→- [9-a subagent] Public portal: NEW HijriDate widget (zero-dep Intl islamic-umalqura, dark/light variants, in header + hero), count-up animation for hero stats (rAF ease-out), NEW TestimonialsSection (4 wali santri quotes w/ amber stars), NEW FaqSection (7 Q&As accordion + sticky contact card w/ WhatsApp chat button), footer quick links updated, all sections carry scroll-mt-20.
   209→   209→- [9-b subagent] Admin: CSV export buttons in StudentsAdmin + PaymentsAdmin (client-side BOM CSV, `;` separator Excel-id friendly, filtered rows, dd/mm/yyyy dates), per-row "Kirim Reminder WA" for PENDING/FAILED invoices + bulk "Ingatkan Semua" with AlertDialog + sequential send summary toast; overview KPI grid now grid-cols-2 on mobile (tighter cards, desktop unchanged).
   210→   210→- [9-c subagent] Parent portal: NEW "Rapor Santri" printable report dialog — formal letterhead, identity block, attendance summary w/ rate, hafalan table w/ grade colors + average row, keuangan summary (paid vs outstanding), auto-generation footer + WA line; scoped @media print CSS (hides app shell, keeps report full-flow, print-color-adjust exact); empty-state guards.
   211→   211→- [main] globals.css polish: smooth scroll, emerald ::selection, thin emerald global scrollbar, emerald :focus-visible outline (a11y).
   212→   212→- E2E verified in browser: Hijri chip "27 Rabiulawal 1448 H" (header+hero), testimonials render, FAQ accordion opens, CSV export toast "9 data santri tersimpan", reminder toast "Reminder terkirim ke Ahmad Hidayat" (INV-2025-1006), Rapor Santri shows correct data (Rp 150.000 dibayar / Rp 0 tunggakan) + print CSS mounted (1065 chars), zero errors after all interactions.
   213→   213→
   214→   214→Stage Summary:
   215→   215→- Round 9 shipped: Hijri date widget, testimonials, FAQ, count-up stats, CSV exports (santri+keuangan), WA payment reminders (single+bulk), mobile KPI polish, printable Rapor Santri, global a11y/scrollbar/selection polish. Lint+tsc clean.
   216→   216→- Verification status: all new features browser-verified; print flow CSS-verified (window.print not triggered in headless).
   217→   217→- Next-step candidates (priority order): (1) guru-specific landing view in AdminDashboard (today's sessions of own classes, quick setoran), (2) announcement detail page/section on public portal (currently ticker+dialog only), (3) hafalan progress chart in parent portal (juz-30 coverage map), (4) settings page (admin change own password), (5) seed a hafalan record for Rizky/Alika so Budi's demo shows non-empty rapor hafalan table.
   218→   218→
